# Residuals   
# Time        	p             	Ux            	Uz            	k             	epsilon       
10.3          	5.071555e-03	1.630997e-03	1.789238e-03	4.521270e-03	2.329135e-03
10.35         	5.106800e-03	1.622021e-03	1.781538e-03	4.474229e-03	2.306914e-03
10.4          	5.154441e-03	1.613161e-03	1.773967e-03	4.433849e-03	2.284165e-03
10.45         	5.304274e-03	1.604387e-03	1.766584e-03	4.394097e-03	2.261139e-03
10.5          	5.096738e-03	1.595747e-03	1.759374e-03	4.352425e-03	2.238834e-03
10.55         	5.070103e-03	1.587098e-03	1.751422e-03	4.308295e-03	2.219457e-03
10.6          	5.066142e-03	1.578569e-03	1.744051e-03	4.264156e-03	2.198717e-03
10.65         	5.156398e-03	1.570180e-03	1.736933e-03	4.226857e-03	2.177487e-03
10.7          	5.256818e-03	1.561797e-03	1.729515e-03	4.188861e-03	2.155964e-03
10.75         	5.285479e-03	1.553465e-03	1.721562e-03	4.149744e-03	2.134957e-03
10.8          	4.979601e-03	1.545404e-03	1.715516e-03	4.107563e-03	2.116316e-03
10.85         	5.038857e-03	1.537257e-03	1.708068e-03	4.066486e-03	2.096333e-03
10.9          	4.991312e-03	1.529231e-03	1.700448e-03	4.031218e-03	2.075917e-03
10.95         	5.020869e-03	1.521306e-03	1.694546e-03	3.995444e-03	2.055432e-03
11            	4.933545e-03	1.513486e-03	1.688920e-03	3.958171e-03	2.036154e-03
11.05         	5.042732e-03	1.505654e-03	1.682189e-03	3.918465e-03	2.018673e-03
11.1          	4.987423e-03	1.497962e-03	1.676011e-03	3.879805e-03	2.000032e-03
11.15         	4.993234e-03	1.490252e-03	1.668556e-03	3.846723e-03	1.981018e-03
11.2          	4.885668e-03	1.482715e-03	1.662220e-03	3.812541e-03	1.961963e-03
11.25         	4.903086e-03	1.475239e-03	1.655998e-03	3.777383e-03	1.944472e-03
11.3          	4.893975e-03	1.467786e-03	1.649907e-03	3.739737e-03	1.927967e-03
11.35         	5.021660e-03	1.460413e-03	1.643371e-03	3.703922e-03	1.910564e-03
11.4          	4.909335e-03	1.453146e-03	1.637538e-03	3.672520e-03	1.892867e-03
11.45         	4.904545e-03	1.445888e-03	1.631824e-03	3.640141e-03	1.875199e-03
11.5          	4.940601e-03	1.438817e-03	1.626386e-03	3.606542e-03	1.859325e-03
11.55         	4.957804e-03	1.431701e-03	1.620369e-03	3.571009e-03	1.843905e-03
11.6          	4.962288e-03	1.424709e-03	1.613843e-03	3.537551e-03	1.827729e-03
11.65         	4.865427e-03	1.417744e-03	1.607552e-03	3.507951e-03	1.811339e-03
11.7          	4.771268e-03	1.410917e-03	1.601593e-03	3.477048e-03	1.795073e-03
11.75         	4.803368e-03	1.404075e-03	1.595718e-03	3.444988e-03	1.780555e-03
11.8          	4.768626e-03	1.397331e-03	1.590039e-03	3.411156e-03	1.766109e-03
11.85         	4.906263e-03	1.390612e-03	1.584066e-03	3.380127e-03	1.750956e-03
11.9          	4.909230e-03	1.383959e-03	1.578153e-03	3.351991e-03	1.735635e-03
11.95         	4.823377e-03	1.377419e-03	1.573792e-03	3.322804e-03	1.720497e-03
