# Time step   
# Time        	deltaT
3.12212       	5.103970e-03
3.12754       	5.419030e-03
3.13302       	5.487194e-03
3.1388        	5.779844e-03
3.14487       	6.064766e-03
3.15093       	6.064766e-03
3.15704       	6.108398e-03
3.16324       	6.198227e-03
3.16939       	6.152652e-03
3.17537       	5.975597e-03
3.18134       	5.975597e-03
3.18723       	5.889617e-03
3.19292       	5.683687e-03
3.19868       	5.764882e-03
3.20436       	5.683111e-03
3.21017       	5.807558e-03
3.21598       	5.807558e-03
3.22192       	5.939548e-03
3.22814       	6.224647e-03
3.23452       	6.378977e-03
3.24107       	6.542540e-03
3.2475        	6.431650e-03
3.25387       	6.377144e-03
3.26014       	6.269965e-03
3.26631       	6.165466e-03
3.27237       	6.063557e-03
3.27854       	6.166330e-03
3.28471       	6.166330e-03
3.29087       	6.166330e-03
3.29709       	6.220420e-03
3.30331       	6.220420e-03
3.30959       	6.276460e-03
3.31474       	5.152318e-03
3.31916       	4.421021e-03
3.32301       	3.846538e-03
3.3265        	3.489643e-03
3.32977       	3.269423e-03
3.33287       	3.102924e-03
3.33585       	2.978253e-03
3.33879       	2.938719e-03
3.34173       	2.938719e-03
3.34465       	2.925658e-03
3.34748       	2.824773e-03
3.35023       	2.753260e-03
3.35295       	2.718700e-03
3.35565       	2.696044e-03
3.35835       	2.707372e-03
3.36112       	2.765721e-03
3.36398       	2.864940e-03
3.36698       	3.000078e-03
3.37009       	3.103022e-03
3.37338       	3.297976e-03
3.37701       	3.622055e-03
3.381         	3.993548e-03
3.38542       	4.421428e-03
3.39034       	4.916628e-03
3.39525       	4.916628e-03
3.39984       	4.581403e-03
3.40435       	4.512510e-03
3.40893       	4.581933e-03
3.41358       	4.654090e-03
3.41831       	4.729156e-03
3.42316       	4.847384e-03
3.42801       	4.847384e-03
3.43294       	4.930960e-03
3.43787       	4.930960e-03
3.44169       	3.824010e-03
3.44527       	3.578881e-03
3.44866       	3.382479e-03
3.45184       	3.186960e-03
3.45489       	3.045317e-03
3.4577        	2.809855e-03
3.46009       	2.388995e-03
3.46228       	2.194768e-03
3.46457       	2.288162e-03
3.46669       	2.116324e-03
3.46897       	2.279118e-03
3.47082       	1.850295e-03
3.47265       	1.831087e-03
3.4746        	1.953160e-03
3.47677       	2.171074e-03
3.47899       	2.217072e-03
3.48094       	1.951355e-03
3.48273       	1.789864e-03
3.48449       	1.759424e-03
3.4863        	1.815180e-03
3.48809       	1.783667e-03
3.48973       	1.640745e-03
3.49128       	1.555706e-03
3.49284       	1.555706e-03
3.49443       	1.594843e-03
3.49611       	1.674058e-03
3.49792       	1.812559e-03
3.49966       	1.743329e-03
3.50151       	1.846256e-03
3.50356       	2.051396e-03
3.50572       	2.158425e-03
3.50775       	2.034071e-03
3.50972       	1.968981e-03
3.51162       	1.892959e-03
3.5134        	1.782421e-03
3.51522       	1.822475e-03
3.51725       	2.028362e-03
3.51951       	2.255842e-03
3.52202       	2.515677e-03
3.52482       	2.795196e-03
3.5276        	2.778850e-03
3.53037       	2.778850e-03
3.53322       	2.846216e-03
3.53616       	2.935720e-03
3.5394        	3.243663e-03
3.54303       	3.626772e-03
3.54662       	3.598215e-03
3.54971       	3.084184e-03
3.55307       	3.360380e-03
3.55679       	3.724421e-03
3.56055       	3.755984e-03
3.5647        	4.145756e-03
3.56928       	4.582151e-03
3.57435       	5.067320e-03
3.57873       	4.388195e-03
3.58321       	4.481561e-03
3.58818       	4.961728e-03
3.59367       	5.490979e-03
3.59973       	6.064663e-03
3.60619       	6.455932e-03
3.61216       	5.966846e-03
3.61762       	5.462606e-03
3.62293       	5.310867e-03
3.62824       	5.310867e-03
3.63363       	5.387836e-03
3.63858       	4.950984e-03
3.6434        	4.818958e-03
3.64828       	4.884971e-03
3.65324       	4.953773e-03
3.65812       	4.884002e-03
3.66322       	5.102689e-03
3.66833       	5.102689e-03
3.673         	4.671475e-03
3.67767       	4.671475e-03
3.68241       	4.740174e-03
3.68729       	4.886025e-03
3.69226       	4.963581e-03
3.6973        	5.044951e-03
3.70252       	5.218915e-03
3.70774       	5.218915e-03
3.71305       	5.313804e-03
3.71847       	5.414065e-03
3.72399       	5.520223e-03
3.72951       	5.520223e-03
3.73514       	5.635228e-03
3.7409        	5.757733e-03
3.74679       	5.888590e-03
3.75297       	6.175838e-03
3.75914       	6.175838e-03
3.76548       	6.338361e-03
3.772         	6.514426e-03
3.7787        	6.706027e-03
3.78541       	6.706027e-03
3.79172       	6.311555e-03
3.79784       	6.125921e-03
3.80397       	6.125921e-03
3.80991       	5.940287e-03
3.81567       	5.760278e-03
3.82126       	5.585724e-03
3.82667       	5.416460e-03
3.83193       	5.252325e-03
3.83718       	5.252325e-03
3.84243       	5.252325e-03
3.84768       	5.252325e-03
3.85293       	5.252325e-03
3.85819       	5.252325e-03
3.86325       	5.064742e-03
3.86814       	4.883858e-03
3.87302       	4.883858e-03
3.8779        	4.883858e-03
3.88197       	4.069882e-03
3.88578       	3.807309e-03
3.88935       	3.569352e-03
3.89292       	3.569352e-03
3.89661       	3.692433e-03
3.9003        	3.692433e-03
3.904         	3.692433e-03
3.90769       	3.692433e-03
3.91138       	3.692433e-03
3.91523       	3.852974e-03
3.91909       	3.852974e-03
3.92294       	3.852974e-03
3.92679       	3.852974e-03
3.93086       	4.067028e-03
3.93493       	4.067028e-03
3.93899       	4.067028e-03
3.94281       	3.812838e-03
3.94662       	3.812838e-03
3.95043       	3.812838e-03
3.95456       	4.130575e-03
3.95911       	4.543632e-03
3.96365       	4.543632e-03
3.96819       	4.543632e-03
3.97274       	4.543632e-03
3.97728       	4.543632e-03
3.98183       	4.543632e-03
3.98637       	4.543632e-03
3.99091       	4.543632e-03
3.99546       	4.543632e-03
4             	4.543632e-03
4.0051        	5.102041e-03
4.01079       	5.685131e-03
4.01634       	5.557375e-03
4.02184       	5.495282e-03
4.02743       	5.589487e-03
4.03318       	5.754856e-03
4.03908       	5.895218e-03
4.04483       	5.754016e-03
4.05066       	5.824187e-03
4.05667       	6.008496e-03
4.06275       	6.086025e-03
4.06847       	5.714926e-03
4.07425       	5.785919e-03
4.08019       	5.934276e-03
4.08616       	5.972810e-03
4.09198       	5.820637e-03
4.09776       	5.783563e-03
4.10317       	5.402609e-03
4.10826       	5.095643e-03
4.11322       	4.954097e-03
4.11814       	4.926574e-03
4.1231        	4.954252e-03
4.12811       	5.010872e-03
4.1333        	5.189832e-03
4.13882       	5.520394e-03
4.14366       	4.838098e-03
4.14852       	4.865587e-03
4.15333       	4.810609e-03
4.15814       	4.810609e-03
4.16298       	4.838256e-03
4.16788       	4.894844e-03
4.17277       	4.894844e-03
4.1777        	4.923980e-03
4.18262       	4.923980e-03
4.18751       	4.894495e-03
4.19241       	4.894495e-03
4.1973        	4.894495e-03
4.2022        	4.894495e-03
4.20712       	4.924708e-03
4.21199       	4.864282e-03
4.21691       	4.925086e-03
4.2219        	4.987826e-03
4.22698       	5.085626e-03
4.23217       	5.188021e-03
4.23747       	5.295360e-03
4.24288       	5.408027e-03
4.24836       	5.486404e-03
4.25397       	5.609234e-03
4.25976       	5.783164e-03
4.26577       	6.018252e-03
4.27194       	6.169972e-03
4.27833       	6.386463e-03
4.28483       	6.501534e-03
4.29164       	6.811131e-03
4.29845       	6.811131e-03
4.3054        	6.946005e-03
4.31228       	6.877232e-03
4.31902       	6.742385e-03
4.3257        	6.676283e-03
4.33224       	6.546646e-03
4.33866       	6.420749e-03
4.34508       	6.420749e-03
4.35144       	6.358412e-03
4.3578        	6.358412e-03
4.36416       	6.358412e-03
4.37052       	6.358412e-03
4.37688       	6.358412e-03
4.38323       	6.358412e-03
4.38966       	6.424645e-03
4.39608       	6.424645e-03
4.40244       	6.357018e-03
4.40866       	6.224580e-03
4.41476       	6.096238e-03
4.42073       	5.971825e-03
4.42658       	5.851182e-03
4.43232       	5.734158e-03
4.43794       	5.620611e-03
4.44345       	5.510402e-03
4.44885       	5.403404e-03
4.4541        	5.249021e-03
4.45925       	5.149983e-03
4.46435       	5.101399e-03
4.46936       	5.006045e-03
